ARGANZUELA	5784
BARAJAS	1591
CARABANCHEL	5596	
CENTRO	15677
CHAMARTIN	7623
CHAMBERI	7226
CIUDAD LINEAL	5532
FUENCARRAL-EL PARDO	4998
HORTALEZA	4556
LATINA	4727
MONCLOA-ARAVACA	6195
MORATALAZ	1479	
PUENTE DE VALLECAS	5925
RETIRO	4458
SALAMANCA	6692
SAN BLAS	3601
TETUAN	5754
USERA	3690
VICALVARO	1198
VILLA DE VALLECAS	3001
VILLAVERDE	3124
